name,team_country,team_confederation,position,club,club_country,birth_date,birth_city,birth_country,birth_lat,birth_lon,caps,goals,is_foreign_born,birth_country_known
Francisco Trincão,Portugal,UEFA,Forward,Sporting CP,Portugal,1999-12-29,Viana do Castelo,Portugal,41.7,-8.8333333333333,18,3,false,true
Rafael Leão,Portugal,UEFA,Forward,Milan,Italy,1999-06-10,Almada,Portugal,38.68027778,-9.15833333,44,5,false,true
Pedro Neto,Portugal,UEFA,Forward,Chelsea,England,2000-03-09,Viana do Castelo,Portugal,41.7,-8.8333333333333,25,3,false,true
Gonçalo Guedes,Portugal,UEFA,Forward,Real Sociedad,Spain,1996-11-29,Benavente,Portugal,38.983333333333,-8.8166666666667,34,8,false,true
João Cancelo,Portugal,UEFA,Defender,Barcelona,Spain,1994-05-27,Barreiro,Portugal,38.660888888889,-9.0732777777778,68,12,false,true
Rúben Neves,Portugal,UEFA,Midfielder,Al-Hilal,Saudi Arabia,1997-03-13,Mozelos,Portugal,40.999166666667,-8.5561111111111,67,1,false,true
Rui Silva,Portugal,UEFA,Goalkeeper,Sporting CP,Portugal,1994-02-07,Maia,Portugal,41.233333333333,-8.6166666666667,3,0,false,true
Vitinha,Portugal,UEFA,Midfielder,Paris Saint-Germain,France,2000-02-13,Faro,Portugal,37.01611111111111,-7.9350000000000005,38,0,false,true
Samú Costa,Portugal,UEFA,Defender,Mallorca,Spain,2000-11-27,Aveiro,Portugal,40.638888888889,-8.6552777777778,6,0,false,true
Nuno Mendes,Portugal,UEFA,Defender,Paris Saint-Germain,France,2002-06-19,Sintra,Portugal,38.797361111111,-9.3904166666667,44,1,false,true
Francisco Conceição,Portugal,UEFA,Forward,Juventus,Italy,2002-12-14,Coimbra,Portugal,40.21111111111111,-8.428888888888888,17,4,false,true
Utkir Yusupov,Uzbekistan,AFC,Goalkeeper,Navbahor Namangan,Uzbekistan,1991-01-04,Sayram,Kazakhstan,42.301944444444,69.770277777778,40,0,true,true
Abdukodir Khusanov,Uzbekistan,AFC,Defender,Manchester City,England,2004-02-29,Tashkent,Tashkent Khanate,41.31111111111111,69.27972222222222,27,0,false,true
Khojiakbar Alijonov,Uzbekistan,AFC,Defender,Pakhtakor,Uzbekistan,1997-04-19,Tashkent,Tashkent Khanate,41.31111111111111,69.27972222222222,40,2,false,true
Farrukh Sayfiev,Uzbekistan,AFC,Defender,Neftchi Fergana,Uzbekistan,1991-01-17,Samarkand,Uzbekistan,39.65472222222222,66.97583333333333,46,1,false,true
